category_ru,category_en,category_he,descr_ru,descr_en,descr_he,link,category_uk,descr_uk,category_fr,descr_fr
Номера телефонов,Phone numbers,מספרי טלפון,<b>Служба тыла</b>,<b>Home Front Service</b>,<b>שירות מול הבית</b>,104,Номера телефонів,<b>Служба тилу</b>,Les numéros de téléphone,<b>Service d'accueil à domicile</b>
Бомбоубежища,Bombshelters,מקלטים,<b>Правительственная карта</b>,<b>Government map</b>,<b>מפת הממשלה</b>,"https://www.govmap.gov.il/?c=179390.13,664733&z=7&lay=BOMBSHELTERS",Бомбосховища,<b>Урядова карта</b>,Abri anti-bombes,<b>Carte gouvernementale</b>
Бомбоубежища,Bombshelters,מקלטים,<b>Альтернативная карта</b>,<b>Alternate map</b>,<b>מפה חלופית</b>,https://www.google.com/maps/d/edit?mid=1-moD7zpSwpSFLVzdoODYrhnBLq--m2I,Бомбосховища,<b>Альтернативна карта</b>,Abri anti-bombes,<b>Carte alternative</b>
Волонтерство и пожертвования,,,"<b>Проект ""Теплый дом""</b>",,,https://youtu.be/cSsl9DJ97Cg?si=1hIOx-Yup5E732jd,Волонтерство і пожертвування,"<b>Проект ""Теплий дім""</b>",,
Волонтерство и пожертвования,Volunteering and donations,התנדבות ותרומות,<b>Министерство социального обеспечения и благосостояния.</b>Национальный центр волонтерства,<b>Ministry of Social Welfare.</b>National Center for Volunteering,<b>משרד הרווחה.</b>המרכז הלאומי להתנדבות,*8103,Волонтерство і пожертвування,<b>Міністерство соціального забезпечення та добробуту.</b>Національний центр волонтерства,Bénévolat et dons,<b>Ministère de la protection sociale.</b>Centre national du volontariat
Волонтерство и пожертвования,Volunteering and donations,התנדבות ותרומות,<b>Я хочу помочь (иврит)</b>,<b>I want to help (hebrew)</b>,<b>אני רוצה לעזור</b>,https://forms.gle/yZXmGgZvbf6ehTHz8,Волонтерство і пожертвування,<b>Я хочу допомогти (іврит)</b>,Bénévolat et dons,<b>Je veux aider (hébreu)</b>
Волонтерство и пожертвования,Volunteering and donations,התנדבות ותרומות,««Хабад беАлия» совместно с IBC – Israel Business Club открыл <b>Центр поддержки и помощи для солдат ЦАХАЛь и их семей.</b>,"“Chabad Be'Alia, together with the IBC – Israel Business Club, opened a <b>Support and Assistance Center for IDF soldiers and their families.</b>","""חב""ד בעליה, יחד עם IBC – מועדון עסקים ישראלי, פתחו <b>מרכז תמיכה וסיוע לחיילי צה""ל ובני משפחותיהם.</b>",https://www.charidy.com/ahliya,Волонтерство і пожертвування,«Хабад беАлія» спільно з IBC – Israel Business Club відкрив <b>Центр підтримки та допомоги для солдатів ЦАХАЛ та їхніх сімей.</b>,Bénévolat et dons,"« Chabad Be'Alia, en collaboration avec l'IBC – Israel Business Club, a ouvert un <b>Centre de soutien et d'assistance pour les soldats de Tsahal et leurs familles.</b>"
Номера телефонов,Phone numbers,מספרי טלפון,"<b>Полиция Израиля</b>, Экстренный вызов","<b>Israel Police,</b> Emergency Call","<b>משטרת ישראל,</b> קריאת חירום",100,Номера телефонів,"<b>Поліція Ізраїлю</b>, Екстрений виклик",Les numéros de téléphone,"<b>Police israélienne,</b> Appel d'urgence"
Номера телефонов,Phone numbers,מספרי טלפון,"<b>Полиция Израиля</b>, Информационная служба","<b>Israel Police,</b> Information Service","<b>משטרת ישראל,</b> שירות המידע",110,Номера телефонів,"<b>Поліція Ізраїлю</b>, Інформаційна служба",Les numéros de téléphone,"<b>Police israélienne,</b> Service d'information"
Номера телефонов,Phone numbers,מספרי טלפון,"<b>Полиция Израиля</b>, Сбор данных о пропавших без вести","<b>Israel Police,</b> Collection of data on missing persons","<b>משטרת ישראל,</b> איסוף נתונים על נעדרים",105,Номера телефонів,"<b>Поліція Ізраїлю</b>, Збір даних про зниклих безвісти",Les numéros de téléphone,"<b>Police israélienne,</b> Collecte de données sur les personnes disparues"
